95550;Antirreflexo blue control;redução de reflexos e filtros de luz azul nociva;125439872163;156.9;Lente;30
45480;Antirreflexo Long life;Durabilidade excepcional;987654321012;156.9;Lente;12
47749;Antirreflexo NO-risk;Sem riscos e reflexos indesejados;543210987654;274.37;Lente;23
94725;Antirreflexo CleanExtra;Limpeza fácil e visão clara;789654321012;231.85;Lente;21
68775;Antirreflexo Aqua;Proteção contra água e sujeira;210987654321;236.18;Lente;22
65616;Antireflexo a zeiss;Qualidade premium da Zeiss;456789012345;269.87;Lente;26
42639;DuraVision Platinum;Resistência máxima;876543210987;650.06;Lente;2
51376;DuraVision Blue Protector;Proteção contra luz azul;123456789012;500.5;Lente;13
98748;DuraVision Chrome;Estilo e durabilidade;987654321098;550.75;Lente;24
63601;DuraVision silver;Alta qualidade e conforto visual;543210987654;600.25;Lente;27
44411;Zeiss DriveSafe;Segurança na direção;210987654321;650.8;Lente;22
18547; lentes Crizal;Clareza e proteção;456789012345;400.9;Lente;22
53618; lentes Crizal prevencia;Proteção contra luz azul e UV;876543210987;450.6;Lente;15
69159; lentes Crizal Sapphire HR;Alta resistência e clareza;123456789012;550.4;Lente;12
33406; lentes Crizal Rock;Resistência contra arranhões;987654321098;600.1;Lente;25
10809; lentes Crizal Easy Pro;Facilidade de limpeza e proteção;543210987654;500.2;Lente;9
34025; lentes varilux X;Visão multifocal avançada;210987654321;650.3;Lente;16
10802; lentes varilux E;Conforto e nitidez visual;456789012345;600.5;Lente;3
54990; lentes varilux Physio;Personalização e qualidade;876543210987;550.7;Lente;19
74000; lentes varilux Comfort;Conforto e ampla visão;123456789012;500.8;Lente;6
98331; lentes varilux Liberty;Liberdade de movimento;987654321098;450.95;Lente;27
58824; lentes varilux Activies;Visão clara para atividades específicas;543210987654;550.35;Lente;21
83086;Kodak Easy +;Facilidade de uso;210987654321;300.15;Lente;10
22177;Kodak UP;Performance superior;456789012345;350.45;Lente;14
28113;Kodak Precise;Precisão visual;876543210987;400.75;Lente;1
76957;Kodak Precise short;Visão nítida em curta distância;123456789012;350.55;Lente;28
76499;Kodak Softwear;Conforto e leveza;987654321098;300.8;Lente;7
56136;Lentes Tokai 1.76;Lentes ultrafinas;543210987654;700.6;Lente;23
96440;Poli 1.59;Material resistente e leve;210987654321;600.9;Lente;29
11111;KP1112;Óculos moderno e elegante com armação em metal preto;456789012345;695.35;Armação;8
22222;VO5043L;Óculos de sol vintage ;876543210987;296.3;Armação;17
33333;CKJ18703;Óculos de design contemporâneo com detalhes em dourado;123456789012;951.67;Armação;4
44444;SK5452;Óculos esportivo com armação resistente e lentes espelhadas;987654321098;376.12;Armação;20
55555;AT7072;Óculos estilo aviador com armação leve ;543210987654;258.36;Armação;13
66666;OOX8156;Óculos de sol de alto desempenho com armação colorida;210987654321;154.36;Armação;26
77777;DK5000;Óculos de estilo clássico com armação em acetato;456789012345;450.25;Armação;2
88888;7130;Óculos minimalista com armação fina e discreta;876543210987;250.8;Armação;15
99999;BG7073I;Óculos fashion com armação em metal e detalhes em cor;123456789012;550.6;Armação;18
12121;CKJ20636;Óculos sofisticado com armação retangular e acabamento elegante;987654321098;600.4;Armação;24
13131;AT8093;Óculos descolado com armação arrojada;543210987654;350.7;Armação;5
14141;RB3519L;Óculos icônico com design atemporal ;210987654321;550.35;Armação;11
15151;L986;Óculos retrô com armação redonda e charme vintage;456789012345;156.9;Armação;30
16161;AN4251;Óculos de sol estiloso com armação quadrada;876543210987;749.99;Armação;22
17171;DS68;Óculos de designer com armação arrojada e estilo único;123456789012;850.6;Armação;10
